Fabricated Data for an Apiary season 2018
Apiary Hive# rand=1-20,Varroa Mites observed                  rand=0-133,"Hours of Sun,   Apr-Oct, 2018         rand=509-3374    ",Wax Moth Observed             rand=0-15,Total Honey Collected      (weight in g)         rand=2000-20000,Swarm Attempt (Yes = 1; 0 = No),Queen Cells produced               rand=0-6,,
1,89,2411.00,3,12356,0.00,0.00,,
1,39,2080.00,13,9949,1.00,4.00,,
1,34,2983.00,5,5842,0.00,1.00,,
1,83,516.00,8,5658,1.00,3.00,,
1,105,2942.00,14,11488,0.00,1.00,,
1,14,2910.00,0,9891,1.00,1.00,,
1,73,2947.00,14,7533,0.00,4.00,,
1,74,2340.00,5,12818,1.00,0.00,,
1,21,512.00,8,1844,0.00,3.00,,
1,85,3006.00,9,14597,0.00,6.00,,
1,6,2628.00,14,5901,1.00,6.00,,
1,6,2680.00,1,14918,1.00,4.00,,
1,22,1666.00,15,2939,1.00,4.00,,
1,67,1360.00,14,4192,1.00,2.00,,
1,50,1658.00,12,10771,1.00,5.00,,
1,23,2130.00,5,1615,0.00,5.00,,
1,87,2184.00,2,3764,0.00,5.00,,
1,74,908.00,12,4427,1.00,0.00,,
1,34,2659.00,6,10297,0.00,5.00,,
1,52,1076.00,7,1380,1.00,0.00,,
1,102,1713.00,1,8790,0.00,2.00,,
1,111,3149.00,10,12413,1.00,6.00,,
1,59,1995.00,10,3467,1.00,0.00,,
1,100,2371.00,5,3436,1.00,0.00,,
1,4,1362.00,4,1379,0.00,4.00,,
1,133,3102.00,6,11001,1.00,0.00,,
1,19,927.00,3,12043,0.00,6.00,,
1,79,967.00,9,7053,1.00,6.00,,
1,127,1759.00,7,11073,1.00,5.00,,
1,75,2752.00,12,1472,0.00,5.00,,
1,97,1837.00,5,12910,0.00,6.00,,
1,10,773.00,12,4941,1.00,5.00,,
1,102,863.00,6,2194,0.00,6.00,,
1,83,1717.00,15,9404,0.00,3.00,,
1,79,1436.00,9,4858,0.00,0.00,,
