Varroa Mites observed                  rand=0.1-133,"Hours of Sun,   Apr-Oct, 2018         rand=509-3374",Wax Moth Observed             rand=0-15,Total Honey Collected      (weight in g)         rand=2000-20000,Swarm Attempt (Yes = 1; 0 = No),Queen Cells produced               rand=0-6,"Survival (Yes = 1, 0 = No)"
89,2411,3,12356,0,0,1
39,2080,13,9949,1,4,0
34,2983,5,5842,0,1,0
83,516,8,5658,1,3,1
105,2942,14,11488,0,1,0
14,2910,0,9891,1,1,1
73,2947,14,7533,0,4,1
74,2340,5,12818,1,0,1
21,512,8,1844,0,3,1
85,3006,9,14597,0,6,0
6,2628,14,5901,1,6,0
6,2680,1,14918,1,4,0
22,1666,15,2939,1,4,0
67,1360,14,4192,1,2,0
50,1658,12,10771,1,5,1
23,2130,5,1615,0,5,0
87,2184,2,3764,0,5,1
74,908,12,4427,1,0,1
34,2659,6,10297,0,5,1
52,1076,7,1380,1,0,1
102,1713,1,8790,0,2,1
111,3149,10,12413,1,6,0
59,1995,10,3467,1,0,1
100,2371,5,3436,1,0,1
4,1362,4,1379,0,4,0
133,3102,6,11001,1,0,0
19,927,3,12043,0,6,1
79,967,9,7053,1,6,1
127,1759,7,11073,1,5,1
75,2752,12,1472,0,5,1
97,1837,5,12910,0,6,1
10,773,12,4941,1,5,1
102,863,6,2194,0,6,0
83,1717,15,9404,0,3,1
79,1436,9,4858,0,0,1
28,573,11,10814,1,1,1
88,2906,3,4458,1,2,0
110,1278,1,5676,0,6,1
124,763,1,4449,0,5,0
44,1387,1,11728,1,4,0
125,2394,6,10683,1,4,1
28,1160,8,4848,1,5,0
124,1234,15,13027,0,1,1
6,2366,3,3917,0,3,0
133,2980,15,13383,0,5,0
34,2165,10,2763,0,6,1
1,996,14,2353,0,2,1
5,1037,7,3581,0,6,0
125,2424,13,2526,0,5,0
32,2641,6,13448,0,6,1
100,1163,14,6860,0,2,1
132,3195,9,10997,1,1,0
39,2147,14,14809,1,2,1
106,2172,13,9082,1,5,0
120,2302,12,10569,0,5,0
114,2044,8,7491,1,2,0
18,1757,9,8768,1,1,1
56,1601,11,5217,0,4,0
8,1590,14,2662,1,0,0
2,1002,9,6219,1,4,0
89,1156,1,7738,1,0,0
80,1987,2,1919,0,1,1
83,3024,0,14422,1,0,1
69,992,5,6190,0,2,0
128,1414,11,9039,0,6,0
62,1789,2,7409,0,4,0
100,2299,4,9957,0,0,1
125,1612,1,4112,1,2,1
8,667,14,12012,0,0,0
3,1395,12,6815,0,5,1
66,1818,11,14034,1,1,1
107,2385,13,4796,0,5,0
40,2615,9,9956,1,3,1
38,3018,13,10616,1,5,0
70,3251,10,1399,0,6,0
116,687,13,4346,1,4,1
97,2848,3,6274,1,3,0
53,2262,3,5516,1,6,1
84,839,2,5895,1,3,1
18,2987,5,7803,0,5,0
36,728,8,9610,0,4,0
57,2659,15,7492,1,6,1
32,516,14,11505,0,6,1
100,2195,1,11085,0,0,0
76,2191,2,14021,0,3,0
41,1978,10,7276,1,4,1
47,2685,15,4935,0,4,0
65,955,10,8917,0,4,1
11,3092,15,11296,0,5,0
55,2523,6,9548,0,1,0
37,1799,2,7215,0,0,1
1,1612,0,3162,0,1,0
128,1259,2,6859,0,4,1
96,1462,3,5014,0,1,0
35,1168,0,11429,1,1,0
15,1906,11,10087,0,4,0
88,3368,3,9784,1,1,1
102,3313,15,9848,0,4,0
127,817,3,7596,0,6,1
72,1747,5,3121,0,5,0
132,1113,7,9581,0,3,1
37,1567,2,1917,0,1,0
3,2404,3,6449,0,2,0
40,2956,13,6615,0,6,0
22,1491,5,1969,1,4,0
72,897,3,8653,1,2,0
2,1401,3,7213,0,0,0
25,838,0,12150,1,4,0
74,1569,4,4596,1,5,0
24,3265,9,1413,0,0,1
3,2480,7,13400,1,1,1
103,1475,7,7656,0,3,1
63,3195,15,6416,1,5,1
22,2459,8,13184,1,4,0
25,509,13,7414,0,2,0
61,1445,5,10333,0,1,0
91,971,10,6239,1,3,0
50,2318,5,2939,0,4,1
80,2424,12,6360,1,5,0
40,601,14,13809,1,1,0
123,3220,12,12585,1,1,1
52,1026,8,12903,1,1,0
71,3334,11,2652,0,5,0
121,2341,12,7028,0,4,0
14,1659,6,6112,0,3,0
102,3285,6,7977,0,0,0
